"","SN_C1","SN_C2","SN_C3","SN_C4","SN_C5","SN_PD1","SN_PD2","SN_PD3","SN_PD4","SN_PD5"
"ENSG00000156853",280,154.999,200,307.998,155,275.785,125,273,257,239
"ENSG00000156858",652,414,440,770.001,326.002,619.999,490.001,458.001,570.999,591.001
"ENSG00000156860",1879,1222,1469,2000.999,1006.001,1980.999,1316,1446,1801,1705.999
"ENSG00000156869",44.785,11.176,21.385,36.457,8.242,51.723,61.448,46.244,45.633,59.627
"ENSG00000156873",742.951,481.346,520.586,901.227,465.352,730.448,383.972,552.683,600.175,579.88
"ENSG00000156875",1827,1290,1207,1909,909,1886,681,1649,1810,1770
"ENSG00000156876",162,107,98,168,81,145,47,135,193,187
"ENSG00000156885",5,6,6,12,5,3,1,1,1,3
"ENSG00000156886",14.751,9.17,16.493,38.408,7.809,21.852,1.035,19.886,27.021,23.434
"ENSG00000156920",4,2,3,3,4,3,1,3,2,5
"ENSG00000156925",81,61,82,102,61,93,77,83,105,136.001
"ENSG00000156928",528,335,351,682,308,494.001,313,322,484,460.999
"ENSG00000156931",1984.605,1289.787,1469.351,2418.899,1148.798,2264.52,753.57,1606.158,1902.724,1643.337
"ENSG00000156958",545.21,390.87,418.124,656.769,334.707,588.884,319.322,536.339,610.586,509.255
"ENSG00000156959",798,485,545,1007,785,868,202,626,794,475
"ENSG00000156966",272.288,201.435,194.959,447.962,161.395,192.677,121,145.669,284.616,189.007
"ENSG00000156968",417.781,154.122,326.435,371.96,256.621,487.034,155.56,338.506,455.868,247.118
"ENSG00000156970",150.998,3.981,13.088,22,9,9,17,35,16,10
"ENSG00000156973",853.001,523,542,834,439.999,721,349.999,523.001,738.999,610.001
"ENSG00000156976",16084.969,9630.992,10761,21045.982,10236.998,17165.849,10127.72,14197.236,16624.428,19785.994
"ENSG00000156983",525.999,304,397.999,550,334.999,513.999,365,436.001,431,426
"ENSG00000156990",636.986,387.294,473.954,816.666,382.235,768.168,378.732,576.67,614.858,569.434
"ENSG00000157005",221,121,232,269,296,239,63,237,213,191
"ENSG00000157014",1390,765,847.848,1474.84,711.883,1274.475,739.001,991.252,1203.081,1064.273
"ENSG00000157017",16,7,12,13,7,17.999,5,30,16,9
"ENSG00000157020",1787.999,1056.999,1070,1864,863,1430,918,1052,1328.999,1059
"ENSG00000157021",0,0,0,0,0,0,0,0,0,0
"ENSG00000157036",462.611,240.675,277.924,392.717,215.24,379.041,150.977,328.099,388.221,290.921
"ENSG00000157045",130.83,99.715,59.378,273.271,43.987,146.341,100.32,0,0,232.615
"ENSG00000157060",5.434,3.237,2.975,4.996,5.968,1.026,4.382,2.023,7.261,6.155
"ENSG00000157064",2156.554,840.212,874.841,2413.754,1751.786,2126.657,263.437,1446.273,1969.585,819.626
"ENSG00000157077",1447,967,1118.001,2308,1163.999,2162.999,908.999,1793,1771,1504
"ENSG00000157087",3008.001,2367.001,1877,4079.001,3029,4089,810,2457.999,3418.002,1760.001
"ENSG00000157093",0,0,0,0,0,0,0,0,1,0
"ENSG00000157103",6605.001,5580,5028.999,6004,3750,8003,1701.999,4459.999,6969.001,4579.999
"ENSG00000157106",5204.29,2695.608,3735.373,6163.201,2831.538,6299.212,2566.67,4800.203,5596.429,5779.544
"ENSG00000157107",705.119,450,508.335,990.683,342,705.067,410.027,581.104,792.032,1006.297
"ENSG00000157110",663.996,429.084,389.178,617.393,167.006,449.409,533.453,422.097,669.29,864.014
"ENSG00000157111",25,16,43,45,12,58,11,14,43,21
"ENSG00000157119",4,1,3,3,2,2,3,0,1,0
"ENSG00000157131",1,0,0,0,0,3,1,0,0,0
"ENSG00000157150",272,186,213,342,124,304,166,132,170,204
"ENSG00000157152",1424,768,1141,2715,2053,2317.999,287,1571,1772,882
"ENSG00000157168",278.001,113.999,188,439,375,273,34,324,223,157.001
"ENSG00000157181",1046,591,667.999,944,464,956,304,713,938.144,938.001
"ENSG00000157184",542.698,431.854,457.915,537.418,281.622,565.06,269.91,362.281,530.975,439.841
"ENSG00000157191",1093.876,713.764,719.501,1253.166,522.417,1068.733,781.907,860.402,1013.475,923.389
"ENSG00000157193",970.542,638.988,606.776,1096.055,668.468,1024.818,389.001,717.32,829.361,755.661
"ENSG00000157211",2,0,1.021,2,0,2.574,0,2.438,0,0
"ENSG00000157212",371.249,180.505,262.42,433.478,208.415,429.318,215.788,338.487,363.262,402.104
"ENSG00000157214",459.451,246.186,300.003,632.84,311.808,552.701,122.716,393.807,490.397,420.243
"ENSG00000157216",2472.78,1496.998,1739.009,3049.961,1455.735,2050.34,795.187,1934.326,2206.947,1862.999
"ENSG00000157219",182,86,100,318,173,191,39,169,190,121
"ENSG00000157224",774.079,458.596,458.997,1015.493,348.001,819.107,500.001,618.884,794.297,1067.794
"ENSG00000157227",1774,360,460,966,278,507,636,592.999,789,628
"ENSG00000157240",409,210,297,477.618,227,506,281,385,477,476
"ENSG00000157259",2068.441,1342.434,1623.832,2360.284,1007.068,2358.428,913.592,1912.558,2482.567,1994.676
"ENSG00000157303",121,56.001,74,67,54,112,51,176,110,75
"ENSG00000157306",190.562,139.877,175.943,232.16,130.892,206.748,104.723,144.229,248.256,177.753
"ENSG00000157315",1,5,4,4,1,2.695,5,3,9,5
"ENSG00000157322",75.65,52.265,109.656,142.447,59.856,145.44,153.612,116.163,79.313,149.332
"ENSG00000157326",548.153,325.487,417.377,617.625,303.106,611.87,484.629,405.181,533.167,423.11
"ENSG00000157330",23.955,12.607,16.121,33.98,24.048,22.45,23.329,16.251,35.981,74.815
"ENSG00000157335",50.92,15.25,1.367,19.426,13.47,34.414,0,31.879,35.938,1.301
